Region,ID,X_Coordinate,Y_Coordinate,Final X,Final Y
1,101,5000,9500,0,0
1,102,13000,9500,0,1
1,103,22500,9500,0,2
1,104,5000,13000,1,0
1,105,13000,13000,1,1
1,106,22500,13000,1,2
1,107,6500,17000,2,0
1,108,19500,17000,2,1
2,201,32000,9500,0,0
2,202,40000,9500,0,1
2,203,49500,9500,0,2
2,204,32000,13000,1,0
2,205,40000,13000,1,1
2,206,49500,13000,1,2
2,207,36500,17000,2,0
2,208,49500,17000,2,1
3,301,62000,9500,0,0
3,302,75000,9500,0,1
3,303,62000,13000,1,0
3,304,75000,13000,1,1
3,305,62000,17000,2,0
3,306,75000,17000,2,1
4,401,6500,23500,0,0
4,402,19500,23500,0,1
4,403,6500,29500,1,0
4,404,19500,29500,1,1
5,501,38000,23500,0,0
5,502,51000,23500,0,1
5,503,38000,29500,1,0
5,504,51000,29500,1,1
6,601,62000,23500,0,0
6,602,75000,23500,0,1
6,603,62000,29500,1,0
6,604,75000,29500,1,1
